has_online_delivery,cuisine_other,Desserts,Beverages,Snacks,Chinese,North Indian,Biryani,Fast Food,Bakery,Ice Cream,Burgers,cuisine_count,votes_log,city_tier_2,city_tier_3,price_bucket,restaurant_density,success
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,1.012730399,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,1.791052195,0,0,1,2,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,1.065765041,0,0,1,2,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.206959209,0,0,1,0,1
1,1,1,1,0,0,0,0,0,0,0,1,0.106080492,1.522601201,0,0,1,0,1
1,1,1,0,0,0,0,0,1,0,0,0,2.784476452,1.33980316,0,0,1,2,1
1,0,1,1,0,0,0,0,0,1,0,0,-0.4295987,1.398431488,0,0,1,2,1
1,1,1,1,1,0,0,0,0,1,1,0,1.177438876,0.580648768,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,0.888564859,0,0,1,2,1
1,0,1,1,1,0,0,0,0,1,0,0,0.106080492,0.62704322,0,0,1,2,1
1,1,1,1,1,0,0,0,0,1,0,0,3.320155644,-0.16692679,0,0,1,0,1
1,1,1,1,1,0,1,0,1,1,0,0,3.320155644,1.511359245,0,0,0,0,1
1,1,0,1,0,0,0,0,0,1,0,0,-0.4295987,0.378729527,0,0,1,2,1
1,1,1,0,0,0,0,0,0,1,1,0,0.106080492,-1.227503961,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-0.190599824,0,0,2,2,1
1,0,1,0,0,0,0,0,0,1,1,0,-0.4295987,0.888564859,0,0,1,2,1
1,1,0,1,1,1,1,0,1,1,0,0,2.784476452,0.888564859,0,0,1,2,1
1,1,1,1,0,0,0,0,0,0,1,0,0.106080492,0.026826959,0,0,0,2,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-1.96419055,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0.106080492,0.32395966,0,0,0,2,1
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,-2.310342865,0,0,0,2,1
1,1,0,0,0,0,0,0,1,0,0,0,-0.965277892,-0.39243973,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-0.965277892,1.824383262,0,0,0,2,1
1,1,0,0,0,0,0,0,0,0,0,0,0.106080492,-0.10140992,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,0.444262489,0,0,1,2,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.39585037,0,0,1,2,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,0.922298543,0,0,1,2,1
1,1,0,0,1,0,0,0,1,0,0,0,-0.4295987,0.273802408,0,0,1,2,1
1,1,1,1,1,0,0,0,0,0,0,0,2.24879726,-0.653773729,0,0,1,2,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-0.326935729,0,0,2,2,1
1,1,0,0,1,0,0,0,1,0,0,1,0.106080492,-0.215324865,0,0,1,0,1
1,0,1,1,1,0,0,0,0,1,0,0,0.106080492,0.387355791,0,0,1,2,1
1,1,1,0,0,0,0,0,0,0,0,0,-0.4295987,-0.600787097,0,0,1,2,1
1,1,0,1,0,0,0,0,0,0,0,0,0.106080492,-0.768848433,0,0,1,0,1
1,1,1,1,0,0,0,1,0,0,1,0,1.713118068,1.585663922,0,0,1,2,1
1,0,1,0,0,0,0,0,0,0,1,0,-0.965277892,-0.39243973,0,0,0,2,1
1,1,0,0,0,0,0,0,0,0,0,0,0.106080492,-0.600787097,0,0,1,0,1
1,1,0,0,1,0,0,0,1,0,0,0,0.106080492,0.888564859,0,0,0,2,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,-0.122403323,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-1.206098663,0,0,1,2,0
1,1,0,0,0,1,0,0,0,0,0,1,3.320155644,0.252401227,0,0,1,2,1
1,1,1,1,0,0,1,1,0,0,0,0,1.177438876,-1.184042839,0,0,0,2,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-0.326935729,0,0,1,2,1
1,1,1,0,1,0,1,0,0,0,0,0,3.320155644,-0.428330253,0,0,1,2,0
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,-2.459623489,0,0,0,2,0
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.230143947,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,0,0,-0.4295987,-0.942310819,0,0,1,2,1
1,1,1,1,1,0,1,0,1,1,0,0,3.320155644,0.62704322,0,0,0,2,1
1,1,0,0,0,0,1,0,0,0,0,0,-0.965277892,-0.654886667,0,0,1,2,1
1,1,1,1,1,0,0,0,1,0,0,0,3.320155644,-0.122403323,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,1,-0.4295987,-0.740852467,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,1.065765041,0,0,1,2,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.412460143,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,0.495885812,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,1,0.106080492,1.67709199,0,0,1,2,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,1.039879294,0,0,1,2,1
1,0,1,1,1,0,0,0,0,1,0,0,0.106080492,0.77302799,0,0,1,2,1
1,1,1,0,0,0,0,0,1,0,0,0,2.784476452,0.284202059,0,0,1,2,1
1,1,1,1,0,0,0,0,0,0,0,0,0.106080492,0.516623615,0,0,2,2,1
1,1,0,0,1,0,0,0,0,0,0,0,-0.4295987,0.194994244,0,0,1,1,1
1,1,1,1,1,0,0,0,0,1,0,0,3.320155644,0.32395966,0,0,1,0,1
1,1,1,1,0,0,0,0,0,0,0,0,1.177438876,0.010219665,0,0,2,2,1
1,1,1,1,1,0,0,0,0,0,0,0,2.24879726,-0.024560108,0,0,1,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0.106080492,0.420582738,0,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0,0,-0.4295987,1.158721589,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,-0.006898545,0,0,2,2,1
1,1,1,0,0,0,0,0,0,0,0,0,-0.4295987,-1.127869149,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,-1.500957084,0.026826959,0,0,1,2,1
1,1,0,0,0,0,1,1,0,0,0,0,0.641759684,-0.766120638,0,0,1,2,0
1,1,1,1,1,0,1,0,1,1,0,0,3.320155644,0.984188729,0,0,0,2,1
1,1,1,1,1,0,0,0,0,1,1,0,1.177438876,-0.144219881,0,0,1,1,1
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,-2.445534911,0,0,0,2,0
1,1,0,0,0,0,1,0,0,0,0,0,-0.965277892,0.922298543,0,0,0,2,1
1,1,0,0,0,0,0,1,0,0,0,0,-0.965277892,0.62704322,0,0,1,1,1
1,0,0,0,0,0,1,0,0,0,0,0,-1.500957084,-0.296865252,0,0,1,2,1
1,0,1,1,0,0,0,0,0,1,0,0,-0.4295987,0.451936989,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,0.814263731,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,1,0.106080492,1.633253556,0,0,1,0,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.543123997,0,0,1,2,0
1,1,0,0,0,0,0,0,0,0,0,0,0.106080492,-0.268336755,0,0,1,1,1
1,0,0,0,0,0,0,0,0,1,1,0,-0.965277892,-0.664437609,0,0,1,2,1
1,1,0,1,0,0,0,1,0,0,0,0,0.641759684,1.13689733,0,0,1,1,1
1,1,0,1,0,0,0,0,0,0,0,0,0.106080492,-0.326935729,0,0,1,2,1
1,1,1,0,0,0,0,0,0,0,0,0,-0.4295987,-0.844131992,0,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,0,-0.4295987,0.502884635,0,0,1,2,1
1,1,1,1,1,0,0,0,0,1,0,0,1.177438876,0.157473692,0,0,0,1,1
1,0,1,0,1,0,1,0,1,0,0,0,0.106080492,-0.969087695,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.314283375,0,0,1,1,1
1,1,0,0,0,1,0,0,0,0,0,0,-0.4295987,1.843463854,0,0,1,1,1
1,0,1,0,0,0,0,0,0,1,1,0,-0.4295987,-2.504164784,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,0,-0.965277892,-0.97797559,0,0,0,1,1
1,1,0,0,1,0,1,0,1,0,0,0,0.106080492,-1.946889598,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0.106080492,-1.617914931,0,0,1,0,1
1,1,1,0,1,0,0,0,0,0,0,0,-0.4295987,-1.49437157,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0.641759684,0.621451081,0,0,1,1,1
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,-2.9913361,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0,1.713118068,-0.600787097,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,0.103154168,0,0,0,1,1
1,1,0,0,0,1,0,1,0,0,0,0,1.713118068,1.090499975,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-1.57847555,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,1.039879294,0,0,1,2,1
1,1,1,1,0,0,0,0,0,0,0,1,0.106080492,1.770051132,0,0,1,2,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,0.954103617,0,0,1,2,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,1.425581045,0,0,1,2,1
1,1,1,1,1,0,0,0,0,1,1,0,1.177438876,0.073867267,0,0,1,2,1
1,1,1,0,0,0,0,0,1,0,0,0,2.784476452,0.157473692,0,0,2,0,1
1,1,0,1,0,0,0,0,0,0,0,0,-0.4295987,-0.122403323,0,0,2,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1.177438876,-0.04280065,0,0,3,0,1
1,1,1,1,1,0,0,0,1,0,0,0,3.320155644,1.425581045,0,0,1,2,1
1,1,0,0,1,0,0,0,1,0,0,0,-0.4295987,0.361065161,0,0,1,2,1
1,0,1,1,0,0,0,0,0,1,0,0,-0.4295987,0.586664059,0,0,1,2,1
1,1,1,1,1,0,0,0,0,1,0,0,3.320155644,0.157473692,0,0,1,2,1
1,1,1,1,1,0,1,0,1,1,0,0,3.320155644,0.428588474,0,0,0,2,1
1,1,0,1,0,0,0,0,0,0,0,0,-0.4295987,-0.296865252,0,0,1,2,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,0.130976465,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,0,0.106080492,1.555025419,0,0,1,2,1
1,0,1,0,0,0,0,0,0,0,1,0,-0.965277892,-0.428330253,0,0,1,0,1
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,1.090499975,0,0,1,2,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,-0.831748302,0,0,1,0,0
1,1,0,0,0,0,0,1,1,0,0,1,1.177438876,0.170263708,0,0,1,0,1
1,0,1,1,1,0,0,0,1,1,0,0,0.641759684,0.48879784,0,0,0,2,1
1,1,0,0,0,0,0,0,1,0,0,0,-0.965277892,-0.358724446,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,1.256595861,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,1.438674732,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,1.065765041,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,1.090499975,0,0,1,0,0
1,0,1,1,1,0,0,0,0,1,0,0,0.106080492,0.369967433,0,0,1,0,1
1,1,1,1,1,0,0,0,1,0,0,0,3.320155644,0.852653484,0,0,1,1,1
1,1,0,0,0,0,1,1,0,0,0,0,0.641759684,-0.714197767,0,0,1,0,0
1,1,1,0,0,1,0,0,0,0,0,0,0.106080492,0.444262489,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0.106080492,0.610095333,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-0.466696175,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,1,0,-0.965277892,-0.16692679,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,-0.965277892,0.62704322,0,0,1,1,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-0.873870992,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-1.236935867,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,-0.4295987,-1.034507868,0,0,1,0,1
1,1,0,0,0,0,1,1,0,0,0,0,0.106080492,1.065765041,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0.106080492,-1.744450356,0,0,1,0,1
1,1,1,0,1,0,0,0,0,0,0,0,-0.4295987,-1.820450423,0,0,1,0,1
1,0,1,0,1,0,1,0,1,0,0,0,0.106080492,-1.430229576,0,0,1,0,1
1,1,0,0,1,0,1,0,1,0,0,0,0.106080492,-1.441563351,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,-1.867637077,0,0,1,0,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-0.268336755,0,0,1,1,1
1,1,1,0,0,1,1,0,0,0,0,0,0.106080492,1.398431488,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-0.965277892,-0.358724446,0,0,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,0.568419529,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,1.930135538,0,0,1,2,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-1.862734234,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,-0.947941246,0,0,1,2,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,-0.215324865,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.144382777,0,0,1,0,0
1,1,1,1,0,0,0,0,0,0,0,1,0.106080492,0.530031543,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,0.549556494,0,0,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,0.352018155,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0.106080492,0.922298543,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0.641759684,0.206959209,0,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0,0,-0.4295987,0.420582738,0,0,1,1,1
1,0,1,1,0,0,0,0,0,1,0,0,-0.4295987,-0.144219881,0,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0,1,0.106080492,0.170263708,0,0,0,0,1
1,1,1,0,0,1,1,0,1,0,0,0,0.641759684,1.555025419,0,0,0,0,1
1,1,1,0,0,0,0,0,1,0,0,0,2.784476452,0.284202059,0,0,1,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0.106080492,0.314283375,0,0,1,0,1
1,1,1,1,1,0,0,0,0,1,1,0,1.177438876,-0.428330253,0,0,1,1,1
1,1,1,1,1,0,1,0,1,1,0,0,3.320155644,0.361065161,0,0,0,1,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-1.698999054,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,1,0,2.24879726,-1.324303604,0,0,0,0,1
1,1,1,0,0,0,0,0,0,1,1,0,0.106080492,-0.774344469,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,0,0,0.106080492,-2.248449234,0,0,1,0,0
1,0,1,1,0,0,0,0,0,1,0,0,-0.4295987,0.058624761,0,0,1,1,1
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,-2.459623489,0,0,0,0,1
1,0,1,1,1,0,0,0,0,1,0,0,0.106080492,0.073867267,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0,0,1.713118068,0.103154168,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,1.065765041,0,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0,1,0.106080492,0.466975578,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,1.114182078,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,1.830816428,0,0,1,0,1
1,1,0,0,1,0,0,0,1,0,0,0,-0.4295987,0.11723918,0,0,1,0,1
1,0,1,1,1,0,0,0,0,1,0,0,0.106080492,0.62704322,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,0,0,-0.4295987,-0.914982786,0,0,1,1,1
1,1,0,0,0,1,1,1,0,0,0,0,0.106080492,1.065765041,0,0,1,1,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-1.952597024,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,1,0,-0.4295987,-1.952597024,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-0.428330253,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,1,0,-0.965277892,0.680075333,0,0,1,0,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-0.428330253,0,0,1,0,1
1,1,0,0,1,0,1,0,1,0,0,0,0.106080492,-1.544395363,0,0,1,1,1
1,1,1,0,1,0,0,0,0,0,0,0,-0.4295987,-1.481922077,0,0,1,1,1
1,0,1,0,1,0,1,0,1,0,0,0,0.106080492,-1.584364167,0,0,1,1,0
1,1,1,0,0,0,0,0,0,1,1,0,0.106080492,-2.664250973,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,1.33980316,0,0,0,0,1
1,0,1,0,0,0,0,0,0,1,0,0,-0.965277892,-0.466696175,0,0,1,2,1
1,0,1,0,0,0,0,0,0,0,1,0,-0.965277892,-0.874697227,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,-2.183992406,0,0,1,0,0
1,1,0,1,0,0,1,0,0,0,0,0,-0.4295987,-3.602679911,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,-0.16692679,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,-0.965277892,-0.960339529,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0,-0.4295987,-0.50790442,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,1,0,-0.4295987,-1.210616706,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,1,0.106080492,-0.851220866,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,-1.500957084,0.77302799,0,0,1,1,1
1,1,0,0,0,0,0,0,1,0,0,1,-0.4295987,0.984188729,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,1,-0.965277892,1.575637361,0,0,1,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0.106080492,-0.326935729,0,0,1,0,1
1,0,1,1,0,0,0,0,0,1,0,0,-0.4295987,-0.326935729,0,0,1,1,1
1,1,1,0,0,0,0,0,1,0,0,0,2.784476452,0.404217227,0,0,1,1,1
1,1,1,1,1,0,0,0,0,1,1,0,1.177438876,0.252401227,0,0,1,1,1
1,0,1,0,0,0,0,0,0,1,1,0,-0.4295987,-0.881351646,0,0,1,0,1
1,0,1,0,0,0,0,0,0,1,1,0,-0.4295987,0.680075333,0,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0,0,-0.4295987,-0.081179807,0,0,1,0,1
1,0,1,1,0,0,0,0,0,0,1,0,-0.4295987,0.680075333,0,0,1,1,1
1,1,1,1,0,0,0,0,0,1,0,1,1.177438876,-0.466696175,0,0,2,1,1
