name,link,city,area,cuisine,rating,votes,has_online_delivery,has_table_booking,price
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10584,bangalore,Indiranagar,Pizzas,4.3,20K+,1,0,₹300 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=5937,bangalore,Indiranagar,"Burgers, American",4.3,81K+,1,0,₹350 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23802,bangalore,Indiranagar,"Pizzas, Italian, Pastas, Desserts",4.3,22K+,1,0,₹400 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=693653,bangalore,HAL 2nd stage,"Burgers, Fast Food, Rolls & Wraps",4.2,4.7K+,1,0,₹400 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23681,bangalore,"Ashwini Complex,Indiranagar","Burgers, Beverages, Cafe, Desserts",4.4,50K+,1,0,₹400 for two
Paris Panini - Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=8241,bangalore,Indiranagar,"sandwich, wrap, Fast Food, Pastas, Italian, Salads, Healthy Food, Desserts, Continental",4.6,36K+,1,0,₹500 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=5167,bangalore,Indiranagar,"Bakery, Desserts, Beverages",4.6,40K+,1,0,₹400 for two
Starbucks Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=70248,bangalore,Indiranagar,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",4.2,9.2K+,1,0,₹400 for two
The Hole in the Wall Cafe,https://www.swiggy.com/dapi/menu/pl?restaurantId=134975,bangalore,Indiranagar,American,4.5,16K+,1,0,₹300 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=457308,bangalore,Indiranagar,"Bakery, Desserts, Beverages, Snacks",4.6,10K+,1,0,₹300 for two
Chaayos Chai+Snacks=Relax,https://www.swiggy.com/dapi/menu/pl?restaurantId=530296,bangalore,INDIRANAGAR,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",4.6,2.4K+,1,0,₹250 for two
Samosa Party,https://www.swiggy.com/dapi/menu/pl?restaurantId=23423,bangalore,Jeevan Bima Nagar,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",4.4,49K+,1,0,₹150 for two
Third Wave Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=215852,bangalore,Indiranagar,"Beverages, Bakery, Continental",4.4,6.4K+,1,0,₹400 for two
"The Dessert Heaven - Pastry, Brownie and Cakes",https://www.swiggy.com/dapi/menu/pl?restaurantId=442789,bangalore,Indira Nagar,"Bakery, Desserts, Sweets, Ice Cream",4.3,356,1,0,₹200 for two
Aubree,https://www.swiggy.com/dapi/menu/pl?restaurantId=585078,bangalore,Indiranagar,"Desserts, Bakery",4.5,2.3K+,1,0,₹800 for two
Magnolia Bakery,https://www.swiggy.com/dapi/menu/pl?restaurantId=444178,bangalore,Indiranagar,"Bakery, Desserts, Ice Cream",4.7,16K+,1,0,₹500 for two
Asha Sweet Center - Since 1951,https://www.swiggy.com/dapi/menu/pl?restaurantId=42149,bangalore,Indiranagar,"Sweets, Snacks, Fast Food, Bakery, Beverages, Chaat, Thalis, North Indian, Chinese",4.6,16K+,1,0,₹250 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=614416,bangalore,Indiranagar,"Waffle, Desserts, Ice Cream, Beverages",4.4,3.4K+,1,0,₹200 for two
Cheesecakes By CakeZone,https://www.swiggy.com/dapi/menu/pl?restaurantId=581477,bangalore,Indira Nagar,"Desserts, Bakery",4.3,94,1,0,₹200 for two
Lo!  Low Carb And Keto Foods,https://www.swiggy.com/dapi/menu/pl?restaurantId=224120,bangalore,Indiranagar,"Healthy Food, Keto, North Indian, Continental",4.3,5.8K+,1,0,₹150 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10584,bangalore,Indiranagar,Pizzas,4.3,20K+,1,0,₹300 for two
Mealy - Your Everyday Meal,https://www.swiggy.com/dapi/menu/pl?restaurantId=1098430,bangalore,Indiranagar,"North Indian, Street Food, Beverages",4.2,50,1,0,₹200 for two
Nizaams Kaati Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=671051,bangalore,Domlur,"Fast Food, Kebabs",4.5,1.6K+,1,0,₹400 for two
Moti's Kitchen,https://www.swiggy.com/dapi/menu/pl?restaurantId=372,bangalore,Indiranagar,"Kerala, South Indian",4.6,86K+,1,0,₹200 for two
